#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_trident;The Trident;Le Trident;Der Dreizack;;El Tridente;;;;;;;;;x
EVTOPTAfeast.724 ;A satisfactory outcome;Une issue satisfaisante;;;Un resultado satisfactorio;;;;;;;;;x
TOOLTIP72097BETROTHED;[This.GetTitledFirstName] and his family will be upset at the breaking of the betrothal\n;[This.GetTitledFirstName] et sa famille seront courroucés de la rupture des fiançailles\n;;;[This.GetTitledFirstName] y su familia estarán irritados por la rotura de los esponsales\n;;;;;;;;;x
TOOLTIPfeast.724;[This.GetTitledFirstName] is satisfied;[This.GetTitledFirstName] est satisfaite;;;[This.GetTitledFirstName] está satisfecho;;;;;;;;;x
EVTDESCfeast.725;[From.GetTitledFirstName] rejected your demand of a marriage for the pregnant [feast_love_daughter.GetTitledFirstName] out of hand. [From.GetSheHeCap] says the child can be born a bastard.;[From.GetTitledFirstName] a rejeté votre demande en mariage pour [feast_love_daughter.GetTitledFirstName], enceinte. [From.GetSheHeCap] dit que l'enfant à naître peut être un bâtard.;;;[From.GetTitledFirstName] ha rechazado tu petición de matrimonio con la embarazada [feast_love_daughter.GetTitledFirstName]. [From.GetSheHeCap] dice que el niño que nazca podrá ser un bastardo.;;;;;;;;;x
EVTOPTAfeast.725;This is a greivous insult to my house;Ceci est une insulte faite à ma maison;;;Es un grave insulto a mi casa;;;;;;;;;x
EVTDESCfeast.726;At a recent feast hosted by [From.GetTitledFirstName], the young [FromFromFrom.GetTitledFirstName] [FromFromFrom.GetOnlyDynastyName] seemingly seduced [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName]'s daughter [feast_love_daughter.GetFirstName]. Now she is with child, and [From.GetTitledFirstName] has agreed to a quick marriage to the avoid the scandal of a bastard birth.;Lors d'une fête donnée chez [From.GetTitledFirstName], le jeune [FromFromFrom.GetTitledFirstName] [FromFromFrom.GetOnlyDynastyName] séduisit la fille de [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] [feast_love_daughter.GetFirstName]. Elle attend désormais un enfant et [From.GetTitledFirstName] a donné son accord pour un mariage rapide en vue d'éviter le scandale de la naissance d'un bâtard.;;;En una fiesta en casa de [From.GetTitledFirstName], el joven [FromFromFrom.GetTitledFirstName] [FromFromFrom.GetOnlyDynastyName] sedujo a la hija de [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] [feast_love_daughter.GetFirstName]. Ella espera ahora un hijo y [From.GetTitledFirstName] ha dado su acuerdo para un rápido matrimonio para evitar el escándalo del nacimiento de un bastardo.;;;;;;;;;x
EVTOPTAfeast.726;Ah young love;Ah, l'amour chez les jeunes;;;Ah, el amor de los jóvenes;;;;;;;;;x
EVTDESC45344;[Root.GetTitledFirstName], I regret to inform you that I have decided to remove you from your position on the council. Whilst you have ably served in your position, I have deemed another person more suitable to sit in your place. \n\nSigned,\n[FromFrom.GetTitledFirstName] of House [FromFrom.GetOnlyDynastyName];[Root.GetTitledFirstName], j'ai le regret de vous informer que j'ai décidé de vous relever de votre poste au conseil. Vous avez servi avec talent mais j'ai désormais une personne plus capable pour prendre votre place. \n\nSigné,\n[FromFrom.GetTitledFirstName] de la Maison [FromFrom.GetOnlyDynastyName];;;[Root.GetTitledFirstName], lamento informaros que he decidido relevaros de vuestro cargo en el consejo. Habéis servido con talento pero he encontrado a una persona más capacitada para reemplazaros.\n\nFirmado,\n[FromFrom.GetTitledFirstName] de la casa [FromFrom.GetOnlyDynastyName];;;;;;;;;x
OPTA45344;This is displeasing;Ceci est fort déplaisant;;;Esto es desagradable;;;;;;;;;x
privileges;Privileges;Privilèges;;;Privilegios;;;;;;;;;x
privileges_desc;When the holder of a title owes fealty to a higher liege, they may by law enjoy certain privileges and exemptions.;Quand le détenteur d'un titre jure fidélité à un suzerain plus puissant, ils peut profiter de certains privilèges en vertu de la loi.;;;Cuando el poseedor de un título jura fidelidad a un Señor de mayor rango, puede disfrutar de ciertos privilegios en virtud de la ley.;;;;;;;;;x
privilege_vassal_king;Royal Style Privilege;Privilège de style royal;;;Privilegio de rango real;;;;;;;;;x
privilege_vassal_king_option;Royal Style;Style royal;;;Rango real;;;;;;;;;x
privilege_vassal_king_desc;The holder of this kingdom retains the legal right to a royal style, despite owing fealty to a higher liege.;Le détenteur de ce royaume a le droit légal à un style royal, malgré le fait qu'il a juré fidélité à un suzerain plus puissant.;;;El poseedor de este Reino tiene el derecho legal a un tratamiento real, a pesar de que haya jurado fidelidad a un Señor de mayor rango.;;;;;;;;;x
EVTDESCdiplomatic.51;I currently enjoy the title [titular_kingdom.GetRulerTitle] of [titular_kingdom.GetName]. However I currently hold no legal right to keep this royal style whilst under the vassalage of [Root.Liege.GetTitledFirstName]. Therefore [Root.Liege.GetSheHe] must decide whether to remove this title from me, or else grant me a royal privilege.;Je suis actuellement le(a) [titular_kingdom.GetRulerTitle] de [titular_kingdom.GetName]. Cependant, je ne possède aucun droit légal à garder ce style royal alors que je suis vassal de [Root.Liege.GetTitledFirstName]. Ainsi, [Root.Liege.GetSheHe] doit décider si [Root.Liege.GetSheHe] me retire ce titre ou m'accorde un privilège royal.;;;Actualmente soy [titular_kingdom.GetRulerTitle] de [titular_kingdom.GetName]. Sin embargo, no poseo ningún derecho legal para mantener este rango real ya que soy vasallo de [Root.Liege.GetTitledFirstName]. Así, [Root.Liege.GetSheHe] debe decidir si me retira el título o me otorga un privilegio real.;;;;;;;;;x
EVTOPTAdiplomatic.51;I am justly [Root.GetTitle];Il est normal que je sois [Root.GetTitle];;;Merezco ser [Root.GetTitle];;;;;;;;;x
TOOLTIPdiplomatic.51KINGDOM;[Root.Liege.GetTitledFirstName] will decide whether to allow you to keep [titular_kingdom.GetFullName]\n;[Root.Liege.GetTitledFirstName] décidera s'il vous autorise à garder [titular_kingdom.GetFullName]\n;;;[Root.Liege.GetTitledFirstName] decidirá si te autoriza a mantener [titular_kingdom.GetFullName]\n;;;;;;;;;x
EVTDESCdiplomatic.52;[From.GetFirstName] [From.GetOnlyDynastyName] currently enjoys the title [titular_kingdom.GetRulerTitle] of [titular_kingdom.GetName]. However [From.GetSheHe] currently holds no legal right to keep this royal style whilst under my vassalage. Therefore I must decide whether to remove this title from [From.GetHerHim], or else grant [From.GetHerHim] a royal privilege.;[From.GetFirstName] [From.GetOnlyDynastyName] est actuellement le(a) [titular_kingdom.GetRulerTitle] de [titular_kingdom.GetName]. Cependant, [From.GetSheHe] n'a pas de droit légal de garder ce style royal sous ma suzeraineté. Ainsi, je dois décider de retirer à [From.GetHerHim] son titre, ou de lui accorder un privilège royal.;;;[From.GetFirstName] [From.GetOnlyDynastyName] es actualmente el titular del [titular_kingdom.GetRulerTitle] de [titular_kingdom.GetName]. Sin embargo, no tiene ningún derecho legal para mantener el rango real bajo mi vasallaje. Así, debo decidir si le retiro su título, o le otorgo un privilegio real.;;;;;;;;;x
EVTOPTAdiplomatic.52;I will suffer no other [From.GetTitle]s;Je ne souffrirai pas de voir d'autres [From.GetTitle]s;;;No sufriré por ver a otros con el título de [From.GetTitle];;;;;;;;;x
EVTOPTAdiplomatic.52B;There will be only one king;Il n'y aura qu'un seul roi;;;Sólo habrá un Rey;;;;;;;;;x
TOOLTIPrevoked_royal_privilege;[This.Holder.GetFirstName] [This.Holder.GetOnlyDynastyName] will lose the right to be styled as [This.GetRulerTitle] in [This.GetFullName].\n;[This.Holder.GetFirstName] [This.Holder.GetOnlyDynastyName] va perdre le droit d'être désigné comme [This.GetRulerTitle] à [This.GetFullName].\n;;;[This.Holder.GetFirstName] [This.Holder.GetOnlyDynastyName] perderá su derecho de ser designado como [This.GetRulerTitle] de [This.GetFullName].\n;;;;;;;;;x
opinion_revoked_titular_kingdom;Revoked My Titular Kingship;A révoqué mon titre tutélaire de roi;;;Revocó mi título de realeza;;;;;;;;;x
opinion_revoked_royal_privilege;Revoked My Royal Privilege;A révoqué mon privilège royal;;;Revocó mi privilegio real;;;;;;;;;x
EVTOPTBdiplomatic.52;[From.GetSheHeCap] may retain [From.GetHerHis] royal style;[From.GetSheHeCap] peut garder son style royal;;;[From.GetSheHeCap] puede conservar su rango real;;;;;;;;;x
opinion_granted_royal_privliege;Granted Me Royal Privilege;M'a accordé un privilège royal;;;Me concedió un privilegio real;;;;;;;;;x
EVTDESCdiplomatic.53;[Root.GetFirstName] [Root.GetOnlyDynastyName], I have decided that as [From.GetTitle], I cannot have another [titular_kingdom.GetRulerTitle] in my realm. Therefore I hereby revoke your right to style yourself [titular_kingdom.GetRulerTitle] of [titular_kingdom.GetName], along with all associated privileges and entitlements.\n\nSigned,\n[From.GetTitledFirstNameNoRegnal] of House [From.GetOnlyDynastyName], the [From.GetRegnalOrdinal] of [From.GetHerHis] name;[Root.GetFirstName] [Root.GetOnlyDynastyName], J'ai décidé qu'en tant que [From.GetTitle] je ne puis avoir un autre [titular_kingdom.GetRulerTitle] dans mon royaume. Ainsi je révoque votre droit d'être désigné comme [titular_kingdom.GetRulerTitle] of [titular_kingdom.GetName], ainsi que les privilèges et bénéfices qui y sont liés.\n\nSigné,\n[From.GetTitle] [From.GetFirstName] de la Maison [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] de son nom.;;;;;;;;;;;;x
EVTOPTAdiplomatic.53;I will get my kingdom back;Je veux retrouver mon royaume;;;Quiero recuperar mi Reino;;;;;;;;;x
EVTDESCdiplomatic.54;[Root.GetTitledFirstName], there is surely enough room in this realm for more than one lineage of royalty, and so I see no need to revoke your royal style. I hereby grant you the legal right to retain your style and rank as [titular_kingdom.GetRulerTitle] of [titular_kingdom.GetName], along with all associated benefits and privileges.\n\nSigned,\n[From.GetTitledFirstNameNoRegnal] of House [From.GetOnlyDynastyName], the [From.GetRegnalOrdinal] of [From.GetHerHis] name;[Root.GetTitledFirstName], le royaume est assez grand pour qu'il y ait plus d'un lignage royal, aussi n'éprouve-je pas le besoin de révoquer votre style royal. Par la présente, je vous accorde le droit de garder votre style et votre rang en tant que [From.GetTitle] de [titular_kingdom.GetName], avec tous les bénéfices et privilèges qui y sont liés.\n\nSigné,\n[From.GetTitledFirstNameNoRegnal] de la Maison [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] de son nom.;;;;;;;;;;;;x
EVTDESCdiplomatic.54B;[Root.GetTitledFirstName], there is surely enough room in this realm for more than one lineage of royalty, and so I wish to grant you the honour of a royal style. I hereby grant you the legal right to the style and rank of [titular_kingdom.GetRulerTitle] in [titular_kingdom.GetName], along with all associated benefits and privileges.\n\nSigned,\n[From.GetTitledFirstNameNoRegnal] of House [From.GetOnlyDynastyName], the [From.GetRegnalOrdinal] of [From.GetHerHis] name;[Root.GetTitledFirstName], le royaume est assez grand pour qu'il y ait plus d'un lignage royal, aussi n'éprouve-je pas le besoin de révoquer votre style royal. Par la présente, je vous accorde le droit de garder votre style et votre rang en tant que [From.GetTitle] de [titular_kingdom.GetName], avec tous les bénéfices et privilèges qui y sont liés.\n\nSigné,\n[From.GetTitledFirstNameNoRegnal] de la Maison [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] de son nom.;;;;;;;;;;;;x
EVTOPTAdiplomatic.54;Thank you [From.PrimaryTitle.GetFOA];Merci [From.PrimaryTitle.GetFOA];;;Gracias [From.PrimaryTitle.GetFOA];;;;;;;;;x
EVTDESCdiplomatic.55;[Root.GetTitledFirstName], I have decided that as [From.GetTitle], I cannot have another [titular_kingdom.GetRulerTitle] in my realm. Therefore I hereby revoke [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName]'s right to style [FromFrom.GetHerHim]self [titular_kingdom.GetRulerTitle] of [titular_kingdom.GetName], along with all associated privileges and entitlements.\n\nSigned,\n[From.GetTitledFirstNameNoRegnal] of House [From.GetOnlyDynastyName], the [From.GetRegnalOrdinal] of [From.GetHerHis] name;[Root.GetTitledFirstName], en tant que [From.GetTitle], j'ai décidé que je ne pouvais pas avoir un autre [FromFrom.GetTitle] dans mon royaume. Aussi, par la présente, je révoque à [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName] le droit d'avoir le style [FromFrom.GetTitle] du [titular_kingdom.GetName], ainsi que tous les privilèges et bénéfices liés.\n\nSigné,\n[From.GetTitledFirstNameNoRegnal] de la Maison [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] de son nom.;;;;;;;;;;;;x
grant_royal_privilege;Grant Royal Privilege;Accorder un privilège royal;;;Conceder privilegio real;;;;;;;;;x
grant_royal_privilege_desc;Granting [Root.GetTitledFirstNameNoRegnal] [Root.GetOnlyDynastyName] a royal style would greatly improve relations but decrease your standing within the realm.;Accorder à [Root.GetTitledFirstNameNoRegnal] [Root.GetOnlyDynastyName] un style royal améliorerait grandement vos relations mais diminuerait votre réputation dans le royaume.;;;Conceder a [Root.GetTitledFirstNameNoRegnal] [Root.GetOnlyDynastyName] el rango real mejoraría enormemente vuestras relaciones pero disminuiría tu reputación en el Reino.;;;;;;;;;x
revoke_royal_privilege;Revoke Royal Privilege;Révoquer privilège royal;;;Revocar privilegio real;;;;;;;;;x
revoke_royal_privilege_desc;As [From.GetTitle], you can revoke [Root.GetTitledFirstNameNoRegnal] [Root.GetOnlyDynastyName]'s royal status, reducing [Root.GetHerHim] to a mere [Root.GetLordLady]. Doing this against non-traitors is seen as tyrannical.;En tant que [From.GetTitle], vous pouvez révoquer le statut royal de [Root.GetTitledFirstNameNoRegnal] [Root.GetOnlyDynastyName], le(la) réduisant au rang de [Root.GetLordLady]. Faire ceci contre autre qu'un traître est vu comme tyrannique.;;;Como [From.GetTitle], puedes revocar el rango real de [Root.GetTitledFirstNameNoRegnal] [Root.GetOnlyDynastyName], rebajándole al rango de [Root.GetLordLady]. Hacer esto en contra de alguien que no sea un traidor será visto como tiránico.;;;;;;;;;x
build_road_network;Build Road Network;Construire un réseau routier;;;Construir una red de caminos;;;;;;;;;x
build_road_network_desc;Begin the construction of a great network of roads that will join all regions of The Seven Kingdoms together, to knit together the realm it must be easier to travel among its regions.;Commencer la construction d'un grand réseau routier qui connectera toutes les régions des Sept Couronnes afin de faciliter le voyage entre ses régions. ;;;Iniciar la construcción de una gran red de caminos que conecte todas las regiones de los Siete Reinos para facilitar los desplazamientos entre ellas. ;;;;;;;;;x
TOOLTIPbuild_road_networkKL;Province is §YKing's Landing§! (Conquest Established)\n;La province est §YPort-Réal§! (Conquête établie)\n;;;La provincia es §YDesembarco del Rey§! (Conquista establecida)\n;;;;;;;;;x
TOOLTIPbuild_road_network;A great road network is started, with each stretch of road costing 200 gold to build.;La construction d'un grand réseau routier a commencé, chaque section coûtant 200 or.;;;La construcción de una gran red de caminos ha comenzado, cada tramo costará 200 piezas de oro.;;;;;;;;;x
TOOLTIPbuild_road_networkCASTELLAN;[This.GetTitledFirstName] stewardship at least 18\n;La valeur en intendance de [This.GetTitledFirstName] atteint au moins 18\n;;;La administración de [This.GetTitledFirstName] es de al menos 18\n;;;;;;;;;x
EVTDESCiron_throne.1;You have comissioned the construction of a great network of roads that will join [Root.Capital.GetName] with all regions of The Seven Kingdoms, so as to knit together the realm and make it easier to travel among its regions. Where shall the first length of road be constructed?;Vous avez demandé la construction d’un grand réseau routier qui connectera [Root.Capital.GetName] à toutes les régions des Sept Couronnes afin de faciliter le voyage entre ses régions. Quelle doit-être la première section à être bâtie ?;;;Has ordenado la construcción de una gran red de caminos que unirán [Root.Capital.GetName] con todas las regiones de los Siete Reinos,con el fin de unir el reino y facilitar los desplazamientos entre las regiones. Dónde deberíamos construir el primer tramo de camino?;;;;;;;;;x
EVTDESCiron_throne.1B;The latest section of road for the Seven Kingdoms is complete, where shall we extend the roads next?;La dernière section de route entre les Sept Couronnes est terminée. Où devons nous l'étendre par la suite ?;;;El último tramo de camino entre los Siete Reinos ha finalizado. Dónde deberíamos extenderlo a continuación?;;;;;;;;;x
EVTOPTAiron_throne.1;The Kingsroad to Storm's End;La Route Royale vers Accalmie;;;El Camino Real hacia Bastión de Tormentas;;;;;;;;;x
EVTOPTBiron_throne.1;The Kingsroad to the Trident;La Route Royale vers le Trident;;;El Camino Real hacia el Tridente;;;;;;;;;x
EVTOPTCiron_throne.1;A Goldroad to Lannisport and The West;La Route de l'or entre Port Lannis et l'ouest;;;El Camino Dorado hacia Lannisport y el Oeste;;;;;;;;;x
EVTOPTDiron_throne.1;A Roseroad to Highgarden;La Route de la rose vers Hautjardin;;;El Camino de las Rosas hacia Altojardín;;;;;;;;;x
EVTOPTEiron_throne.1;Improve the road to Oldtown;Améliorer la route vers Villevieille;;;Mejorar el camino hacia Antigua;;;;;;;;;x
EVTOPTFiron_throne.1;A River road between the West and The Trident;Une route entre l'ouest et le Trident;;;El Camino del Río entre el Oeste y el Tridente;;;;;;;;;x
EVTOPTGiron_throne.1;The Kingsroad between the Neck and Trident;La Route Royale entre le Neck et le Trident;;;El Camino Real entre el Cuello y el Tridente;;;;;;;;;x
EVTOPTHiron_throne.1;A road for Winterfell and The North;Une route entre Winterfell et le Nord;;;Un camino para Invenalia y el Norte;;;;;;;;;x
EVTOPTIiron_throne.1;The Ocean Road between Lannisport and Highgarden;La route de la mer entre Port Lannis et Hautjardin;;;El Camino del Océano entre Lannisport y Altojardín;;;;;;;;;x
EVTOPTJiron_throne.1;The High Road though the Mountains of Moon;La Route haute à travers les Montagnes de la lune;;;El Camino Alto a través de las Montañas de la Luna;;;;;;;;;x
EVTOPTKiron_throne.1;Connect the Trident and The Stormlands;Connecter le Trident et les Terres de l'orage;;;Conectar el Tridente con las Tierras de la Tormenta;;;;;;;;;x
EVTOPTLiron_throne.1;A Roseroad from Highgarden to The Trident;La Route de la rose entre Hautjardin et le Trident;;;El Camino de las Rosas entre Altojardín y el Tridente;;;;;;;;;x
EVTOPTMiron_throne.1;The Reach and Stormlands shall be united;Le Bief et les Terres de l'orage doivent être unis;;;El Dominio y las Tierras de la Tormenta deberían estar unidas;;;;;;;;;x
EVTOPTNiron_throne.1;A Goldroad for The West and Storm's End;La Route de l'or entre l'ouest et Accalmie;;;El Camino Dorado entre el Oeste y Bastión de Tormentas;;;;;;;;;x
EVTOPTOiron_throne.1;Our network of roads is finished!;Nous avons terminé de bâtir notre réseau routier !;;;Hemos terminado la construcción de nuestra red de caminos!;;;;;;;;;x
EVTDESCiron_throne.2;[Root.PrimaryTitle.GetFOA], I am pleased to report that the latest stretch of road building is complete. The Seven Kingdoms are now binded together ever closer\nYour humble servant,\n\n[Root.Liege.job_castellan.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], j'ai le plaisir de vous annoncer que la dernière section de routes a été construite. Les Sept Couronnes sont désormais connectées, ce qui les rend encore plus liées les unes aux autres\nVotre humble serviteur,\n\n[Root.Liege.job_castellan.GetTitledFirstName];;;[Root.PrimaryTitle.GetFOA], me complace anunciaros que el último tramo de la red de caminos ha sido construido. Los Siete Reinos están ahora conectados, lo que los une a los unos con los otros\nVuestro humilde servidor,\n\n[Root.Liege.job_castellan.GetTitledFirstName];;;;;;;;;x
EVTOPTAiron_throne.2;Good work;Bon travail;;;Buen trabajo;;;;;;;;;x
EVTDESCiron_throne.3;You have decreed that a great network of roads is to be built for the benefit of the kingdoms. The resources needed will be burdensome, so perhaps a special tax should be levied on the lords of the realm seeing as they will directly benefit from the roads?;Vous avez décrété que, pour le bien des royaumes, un réseau de routes allait être construit. Les ressources demandées sont colossales, aussi serait-il envisageable de lever un inmpôt auprès des nobles du royaume puisqu'ils vont bénéficier directement des routes ?;;;Has decretado que, por el bien de los reinos, se construya una red de caminos. Los recursos necesarios son colosales. Por ello, sería posible crear un impuesto especial a los nobles del Reino ya que se beneficiarán directamente de los caminos?;;;;;;;;;x
EVTOPTAiron_throne.3;Yes, levy the tax;Oui, levez l'impôt;;;Sí, cread el impuesto;;;;;;;;;x
TOOLTIPiron_throne.3;A special one off tax of 10% is levied on Westerosi vassals High Lord rank and above\n;Un impôt exceptionnel de 10% est demandé auprès des Lords de Westeros\n;;;Se gravará con un impuesto excepcional del 10% a los vasallos de rango igual o superior de Gran Señor\n;;;;;;;;;x
EVTOPTBiron_throne.3;No, I have enough coin to fund it;Non, j'ai assez d'argent pour financer cela;;;No, tengo suficiente dinero para financiarlo;;;;;;;;;x
EVTDESCiron_throne.4;[Root.GetTitledFirstName], I have decided to comission the construction of a great network of roads that will join [From.Capital.GetName] with all regions of The Seven Kingdoms, so as to knit together the realm and make it easier to travel among its regions. I will levy a special tax for this, to spread the burden of this great project.\n\nSigned,\n[From.GetName] of the House [From.GetOnlyDynastyName], the [From.GetRegnalOrdinal] of [From.GetHerHis] name, [From.GetKingQueen] of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms and Protector of the Realm;[Root.GetTitledFirstName], j'ai décidé de faire construire un grand réseau routier qui connectera [From.Capital.GetName] à toutes les régions de Sept Couronnes de manière à augmenter les liens au sein du royaume et à faciliter le voyage entre les régions. Je vais lever un impôt exceptionnel pour financer cela, afin de répartir la charge de ce grand projet.\n\nSigné,\n[From.GetName] de la Maison [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] de son nom, [From.GetKingQueen] des Andals, de Rhoynar et des Premiers Hommes, Seigneur des Sept Couronnes et Protecteur du Royaume;;;;;;;;;;;;x
EVTOPTAiron_throne.4;I suppose it is for the benefit of the realm;Je suppose que c'est pour le bien du royaume;;;Supongo que será en beneficio del Reino;;;;;;;;;x
EVTOPTBiron_throne.4;I am exempt from this tax;Je suis dispensé de payer cet impôt;;;Estoy exento de pagar este impuesto;;;;;;;;;x
EVTDESCiron_throne.5;[Root.GetTitledFirstName], I have decided to comission the construction of a great network of roads that will join [From.Capital.GetName] with all regions of The Seven Kingdoms, so as to knit together the realm and make it easier to travel among its regions. This shall be funded from the crowns treasury.\n\nSigned,\n[From.GetName] of the House [From.GetOnlyDynastyName], the [From.GetRegnalOrdinal] of [From.GetHerHis] name, [From.GetKingQueen] of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms and Protector of the Realm.;[Root.GetTitledFirstName], j'ai décidé de faire construire un grand réseau routier qui connectera [From.Capital.GetName] à toutes les régions de Sept Couronnes de manière à augmenter les liens au sein du royaume et à faciliter le voyage entre les régions. Cela sera financé par le trésor de la couronne.\n\nSigné,\n[From.GetName] de la Maison [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] de son nom, [From.GetKingQueen] des Andals, de Rhoynar et des Premiers Hommes, Seigneur des Sept Couronnes et Protecteur du Royaume;;;;;;;;;;;;x
EVTOPTAiron_throne.5;A noble undertaking;Un noble projet;;;Un noble proyecto;;;;;;;;;x
opinion_road_tax;Imposed a Road Tax;A levé un impôt routier;;;Creó un impuesto para los caminos;;;;;;;;;x
opinion_ai_refused_embargo;Allows Trade;Autorise le commerce;;;Permitió el comercio;;;;;;;;;x
EVTOPTC69011;[From.GetSheHeCap] will never know the truth;[From.GetSheHeCap] ne saura jamais la vérité;;;[From.GetSheHeCap] no sabrá nunca la verdad;;;;;;;;;x
EVTOPTC69012;I have no choice but to silence this slander;Il me faut faire taire cette rumeur;;;Tengo que acallar este rumor;;;;;;;;;x
suspected_of_incest;Suspected of Incest;Suspecté/e d'inceste;;;Sospechoso de incesto;;;;;;;;;x
EVTDESCrumours.508;[FromFrom.GetTitledFirstName] has been spreading a most shocking rumour around court. [FromFrom.GetSheHeCap] claims that [From.GetTitledFirstName] has been having an incestuous affair with his own sister [incest_suspect_sister.GetTitledFirstName]!;[FromFrom.GetTitledFirstName] a répandu une rumeur choquante au sein de la cour. [FromFrom.GetSheHeCap] claims that [From.GetTitledFirstName] s'est livré à des pratiques incestueuses avec sa propre soeur [incest_suspect_sister.GetTitledFirstName] !;;;[FromFrom.GetTitledFirstName] ha difundido un romor impactante en la corte. [FromFrom.GetSheHeCap] afirma que [From.GetTitledFirstName] está envuelto en prácticas incestuosas con su propia hermana [incest_suspect_sister.GetTitledFirstName] !;;;;;;;;;x
EVTOPTArumours.508;How shocking!;C'est immonde !;;;Es repugnante!;;;;;;;;;x
EVTDESC6rumours.509;Everyone at court believes that my brother [From.GetTitledFirstName] and I are having an incestuous affair! [FromFrom.GetTitledFirstName] has been spreading this rumour it seems.;Tout le monde à la cour pense que mon frère [From.GetTitledFirstName] et moi avons des pratiques incestueuses ! Il semble que [FromFrom.GetTitledFirstName] a répandu ces rumeurs.;;;Toda la corte piensa que mi hermano [From.GetTitledFirstName] y yo tenemos relaciones incestuosas! Parece que [FromFrom.GetTitledFirstName] ha difundido los rumores.;;;;;;;;;x
EVTDESCrumours.500;[From.GetTitledFirstName] strenuously denied he is having an affair with his sister. He claims any evidence I may have is clearly false, and warned me about spreading false rumours.;[From.GetTitledFirstName] nie farouchement avoir des relations incestueuses avec sa sœur. Il déclare que les preuves avancées sont fausses et m'avertit quant au fait de répandre de fausses rumeurs.;;;[From.GetTitledFirstName] niega vehementemente tener relaciones incestuosas con su hermana. Afirma que las pruebas aportadas son falsas y me ha advertido en cuanto al hecho de difundir falsos rumores.;;;;;;;;;x
EVTOPTArumours.500;I'm convinced he is truthful;Je suis convaincu/e qu'il dit la vérité;;;Estoy convencido de que dice la verdad;;;;;;;;;x
EVTOPTBrumours.500;I don't believe your lies!;Je ne crois pas vos mensonges !;;;No me creo tus mentiras!;;;;;;;;;x
EVTDESCrumours.501;[From.GetTitledFirstName] strenuously denied he is having an affair with his sister, but he clearly did not want to risk any rumours spreading for he agreed to pay you to keep silent.;[From.GetTitledFirstName] nie farouchement avoir des relations incestueuses avec sa sœur mais il ne tient pas à ce que la rumeur s'amplifie et préfère vous payer pour que vous gardiez le silence.;;;[From.GetTitledFirstName] niega vehementemente tener relaciones incestuosas con su hermana pero teme a que el rumor crezca y prefiere pagarte para que guardes silencio.;;;;;;;;;x
EVTOPTArumours.501;I shall keep my silence;Je garderai le silence;;;Guardaré silencio;;;;;;;;;x
EVTDESCrumours.502;[From.GetTitledFirstName] strenuously denied he is having an affair with his sister, and angrily rejected your demand for payment to keep silent about the matter.;[From.GetTitledFirstName] nie farouchement avoir des relations incestueuses avec sa sœur et rejette catégoriquement votre exigence de paiement en échange de votre silence.;;;[From.GetTitledFirstName] niega vehementemente tener relaciones incestuosas con su hermana y rechaza categóricamente tu exigencia de pago a cambio de silencio.;;;;;;;;;x
EVTOPTArumours.502;Well the court shall hear of it then!;Fort bien, la cour va en entendre parler, alors;;;Muy bien, la corte escuchará al respecto entonces;;;;;;;;;x
EVTDESCrumours.503;My brother [From.GetFirstName] and I enjoyed a few hours together in the high, abandoned tower of [Root.Location.GetName] when a child's face appeared in one of the windows. [From.GetFirstName] let [incest_tower_child.GetTitledFirstName] go, making sure [incest_tower_child.GetSheHe] would stay silent. The child has let slip affair regardless, and now the whole court knows!;Mon frère [From.GetFirstName] et moi passions du bon temps ensemble pendant quelques heures dans la haute et abandonnée tour de [Root.Location.GetName] lorsque le visage d'un enfant est apparu à la fenêtre. [From.GetFirstName] a laissé [incest_tower_child.GetTitledFirstName] partir, s'assurant qu'[incest_tower_child.GetSheHe] ne parlerait pas. L'enfant a pourtant évoqué l'affaire et toute la cour est au courant désormais !;;;Mi hermano [From.GetFirstName] y yo pasábamos un buen rato juntos durante unas horas en la alta y abandonada torre de [Root.Location.GetName] cuando el rostro de un niño apareció por la ventana. [From.GetFirstName] dejó marchar a [incest_tower_child.GetTitledFirstName], asegurándose de que no hablara. Parece que el niño se ha ido de la lengua y ahora toda la corte está al corriente!;;;;;;;;;x
opinion_proven_incest;Proven Incestuous Adulterer;Personne reconnue d'avoir commis inceste et adultère;;;Cometió adulterio e incesto;;;;;;;;;x
